[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/right | INFO: Run CheckRoute Behavior [ RunTime:0.005660s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --END-- [ RunTime:0.005711s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --START--
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/right | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000547s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000598s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --START--
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Run LocationTemplate Behavior [ RunTime:0.000726s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --END-- [ RunTime:0.000777s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --START--
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Run ParseTemplate Behavior [ RunTime:0.006179s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006224s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --START--
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Run ContentReplace Behavior [ RunTime:0.000368s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Run TokenBuild Behavior [ RunTime:0.000449s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000290s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Run ShowRuntime Behavior [ RunTime:0.000409s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001609s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_end ] --START--
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Run ShowPageTrace Behavior [ RunTime:0.000491s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_end ] --END-- [ RunTime:0.000519s ]
[ 2018-04-13T17:56:12+08:00 ] /index.php/Admin/Category/add | INFO: Tag[ route_check ] --START--
[ 2018-04-13T17:56:12+08:00 ] /index.php/Admin/Category/add | INFO: Run CheckRoute Behavior [ RunTime:0.000635s ]
[ 2018-04-13T17:56:12+08:00 ] /index.php/Admin/Category/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000675s ]
[ 2018-04-13T17:56:12+08:00 ] /index.php/Admin/Category/add | INFO: Tag[ app_begin ] --START--
[ 2018-04-13T17:56:12+08:00 ] /index.php/Admin/Category/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000402s ]
[ 2018-04-13T17:56:12+08:00 ] /index.php/Admin/Category/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000428s ]
[ 2018-04-13T17:56:13+08:00 ] /index.php/Admin/Category/add | SQL: SHOW COLUMNS FROM `tp_bitcharray` [ RunTime:0.002558s ]
[ 2018-04-13T17:56:13+08:00 ] /index.php/Admin/Category/add | SQL: SELECT * FROM `tp_bitcharray` WHERE cid=0  [ RunTime:0.000280s ]
[ 2018-04-13T17:56:13+08:00 ] /index.php/Admin/Category/add | INFO: Tag[ view_template ] --START--
